Timestamp,In which faculty are you based?,Which of the following organisations usually fund your research?,What is your job title?,Do you use research software?,How important is research software to your work?,Have you developed your own research software?,How do you rate your software development expertise?,Do you feel that you have received sufficient training to develop reliable software?,Would you be interested in the university helping you commercialise some of your research software?,Do you feel that your research software is ready to be shared with a commercial partner?,"Have you used IRIDIS, the University's high-performance computing (HPC) system?",How confident are you with the following technologies? [Version control],How confident are you with the following technologies? [Continuous integration],How confident are you with the following technologies? [Unit testing],How would you rate the university's current level of support for your software-development needs?,Have you or someone in your group ever hired someone specifically to develop software?,Have you ever included costs for software development in a funding proposal?,How suitable would the following models be for your software development needs? [Hire a full-time software developer],How suitable would the following models be for your software development needs? [Recruit a developer from a central Southampton pool as needed]
2019/06/14 2:21:46 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,4,Yes,4,No,No,No,"No, but I would like to use IRIDIS in the future",Very confident,Not confident,Not confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/14 2:23:05 pm CET,Faculty of Social Sciences,ESRC;NIHR,Associate Professor,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/14 2:23:53 pm CET,Faculty of Social Sciences,ESRC,Teaching Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Perfect
2019/06/14 2:24:44 pm CET,Faculty of Social Sciences,EPSRC,,Yes,5,Yes,,No,No,,Yes,Not confident,Not confident,Not confident,2,No,No (we did NOT expect to write software as part of the project),Perfect,
2019/06/14 2:25:11 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow,Yes,5,No,,,,,,,,,,No,No (but we DID expect to write software as part of the project),Unsuitable,Perfect
2019/06/14 2:25:50 pm CET,Faculty of Engineering and Physical Sciences,Rolls Royce,PhD student,Yes,5,Yes,3,No,Yes,No,"No, I use other HPC facilities",Not confident,Not heard of it,Not confident,1,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/14 2:37:44 pm CET,Faculty of Social Sciences,,Professorial Fellow,No,1,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2019/06/14 2:42:53 pm CET,Faculty of Medicine,BBSRC;MRC;NIHR;British Heart Foundation;Wellcome Trust,Lecturer,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2019/06/14 2:51:49 pm CET,Faculty of Engineering and Physical Sciences,European Commission (H2020 Programme),Senior Research Fellow,Yes,4,Yes,1,No,No,,"No, I do not require HPC in my research",Not confident,Not heard of it,Not confident,1,Yes,Yes,Suitable,Perfect
2019/06/14 2:52:13 pm CET,Faculty of Medicine,Health Education England,Research Fellow,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2019/06/14 2:54:21 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Perfect
2019/06/14 2:55:05 pm CET,Faculty of Arts and Humanities,AHRC,Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/14 2:55:42 pm CET,Faculty of Medicine,Cancer Research UK,Senior Research Fellow,Yes,5,Yes,3,No,Yes,No,"No, but I would like to use IRIDIS in the future",Confident,Not confident,Confident,3,No,Yes,Suitable,Perfect
2019/06/14 2:56:01 pm CET,Faculty of Medicine,MRC;NIHR,,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/14 2:56:29 pm CET,Faculty of Environmental and Life Sciences,,Research Fellow,Yes,5,No,,,,,,,,,,No,No (but we DID expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/14 3:01:28 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,Senior Research Fellow,Yes,5,Yes,3,No,Yes,No,Yes,Not heard of it,Not heard of it,Not heard of it,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/14 3:02:00 pm CET,Faculty of Environmental and Life Sciences,Wessex Academic Health Science Network,Senior Research Fellow,No,2,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,Suitable
2019/06/14 3:09:04 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2019/06/14 3:10:40 pm CET,Faculty of Social Sciences,EPSRC,,Yes,3,Yes,4,No,Yes,No,"No, I do not require HPC in my research",Not confident,Not heard of it,Not heard of it,1,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2019/06/14 3:14:17 pm CET,Faculty of Environmental and Life Sciences,EPSRC;ESRC,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2019/06/14 3:19:53 pm CET,Faculty of Engineering and Physical Sciences,EPSRC;Innovate UK,Research Fellow,Yes,4,Yes,4,No,No,,Yes,Confident,Not confident,Not confident,1,Yes,No (but we DID expect to write software as part of the project),Unsuitable,Suitable
2019/06/14 3:20:38 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow,Yes,5,Yes,5,Yes,No,,Yes,Very confident,Very confident,Very confident,2,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/14 3:40:40 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,Lecturer,Yes,5,No,,,,,,,,,,No,Yes,Unsuitable,Unsuitable
2019/06/14 3:51:39 pm CET,Faculty of Environmental and Life Sciences,NERC,Lecturer,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/14 3:53:27 pm CET,Faculty of Social Sciences,EPSRC;STFC,Associate Professor,Yes,5,Yes,4,Yes,No,,Yes,Very confident,Confident,Confident,5,Yes,Yes,Suitable,Suitable
2019/06/14 3:57:24 pm CET,Faculty of Social Sciences,,Lecturer,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/14 3:58:06 pm CET,Faculty of Medicine,MRC;NIHR;Wellcome Trust;Asthma UK,,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2019/06/14 4:01:39 pm CET,Faculty of Engineering and Physical Sciences,University of Southampton,,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/14 4:05:30 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,Professor,Yes,4,No,,,,,,,,,,Yes,Yes,Suitable,Suitable
2019/06/14 4:20:15 pm CET,Faculty of Social Sciences,EPSRC;Leverhulme,Associate Professor,Yes,5,Yes,4,No,Yes,No,"No, I do not require HPC in my research",Not confident,Not heard of it,Not confident,,No,No (but we DID expect to write software as part of the project),Suitable,Suitable
2019/06/14 4:48:40 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,5,No,,,,,,,,,,No,Yes,Unsuitable,Unsuitable
2019/06/14 4:51:03 pm CET,Faculty of Environmental and Life Sciences,"Environment Agency, Engineering Companies, Local government agencies, local councils",Research Fellow,Yes,5,Yes,2,No,Yes,No,"No, but I would like to use IRIDIS in the future",Not heard of it,Not confident,Not confident,1,Yes,No (but we DID expect to write software as part of the project),Perfect,Perfect
2019/06/14 5:04:45 pm CET,Faculty of Medicine,MRC;NIHR,Clinical Academic ,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2019/06/14 5:46:09 pm CET,Faculty of Social Sciences,EPSRC,Professor,Yes,5,Yes,3,No,No,Yes,Yes,Confident,Not confident,Not confident,2,No,No (but we DID expect to write software as part of the project),Unsuitable,Perfect
2019/06/14 5:47:43 pm CET,Faculty of Social Sciences,"EPSRC is closest, but as a theoretician I can and do research without a grant often.  ",Professor,Yes,4,Yes,2,Yes,No,No,"No, I do not require HPC in my research",Not confident,Not heard of it,Not heard of it,3,No,Yes,Unsuitable,Unsuitable
2019/06/14 5:57:57 pm CET,Faculty of Engineering and Physical Sciences,STFC,Research Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/14 5:59:36 pm CET,Faculty of Arts and Humanities,AHRC,PhD student,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/14 6:05:05 pm CET,Faculty of Social Sciences,EPSRC;NERC;Leverhulme Trust ,Professor,Yes,5,Yes,4,No,No,,"No, but I would like to use IRIDIS in the future",Confident,Not heard of it,Not confident,3,No,No (but we DID expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/14 6:29:40 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow,Yes,5,Yes,3,No,No,,"No, I do not require HPC in my research",Confident,Not heard of it,Not confident,1,No,Yes,Unsuitable,Suitable
2019/06/14 6:31:24 pm CET,Faculty of Medicine,Self ,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,
2019/06/14 7:00:06 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,5,No,,,,,,,,,,No,Yes,Unsuitable,Unsuitable
2019/06/14 7:15:02 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow,Yes,5,Yes,3,No,Yes,No,"No, but I would like to use IRIDIS in the future",Not confident,Not confident,Not confident,4,No,Yes,Unsuitable,Suitable
2019/06/14 7:24:43 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,4,Yes,2,No,Yes,No,"I have used Lyceum before, but for undergraduate work",Not confident,Not confident,Not confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/14 8:20:39 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow,Yes,5,Yes,3,No,No,No,"No, I do not require HPC in my research",Confident,Not heard of it,Not confident,3,No,No (but we DID expect to write software as part of the project),,
2019/06/14 8:22:57 pm CET,Faculty of Engineering and Physical Sciences,EPSRC;ESRC;NERC,Senior Research Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/14 8:52:45 pm CET,Faculty of Environmental and Life Sciences,NERC,PhD student,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals);No (but we DID expect to write software as part of the project),Suitable,Suitable
2019/06/14 9:59:17 pm CET,Faculty of Engineering and Physical Sciences,,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/14 10:32:58 pm CET,Faculty of Medicine,Alzheimer's Research UK,Associate Professor,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2019/06/14 11:53:54 pm CET,Faculty of Environmental and Life Sciences,"NERC;National Geographic, Royal Geographical Society, Royal Society",Associate Professor,Yes,5,Yes,3,Yes,No,,Yes,Not heard of it,Not heard of it,Not heard of it,1,No,No (but we DID expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/15 1:22:31 am CET,Faculty of Social Sciences,Royal Society,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/15 9:25:49 am CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/15 9:28:32 am CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/15 9:34:30 am CET,Faculty of Medicine,NIHR,Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
2019/06/15 9:41:38 am CET,Faculty of Social Sciences,MRC;NIHR;British Heart Foundation,Principal Research Fellow,Yes,4,No,,,,,,,,,,No,Yes,Perfect,Suitable
2019/06/15 10:48:58 am CET,Faculty of Social Sciences,I am a self-funded Phd student,PhD student,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/15 12:36:22 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,Senior Research Fellow,Yes,5,Yes,5,Yes,No,Yes,Yes,Confident,Confident,Confident,4,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2019/06/15 1:05:45 pm CET,Faculty of Engineering and Physical Sciences,ESRC,PhD student,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/15 2:38:26 pm CET,Faculty of Engineering and Physical Sciences,SMMI,PhD student,Yes,5,No,,,,,,,,,,No,No (but we DID expect to write software as part of the project),,
2019/06/15 3:11:25 pm CET,Faculty of Social Sciences,,MSc,Yes,5,Yes,5,Yes,No,,Yes,Very confident,Not heard of it,Not confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/15 4:41:05 pm CET,Faculty of Engineering and Physical Sciences,BBSRC;EPSRC,Professor,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/15 5:30:50 pm CET,Faculty of Environmental and Life Sciences,NIHR,Lecturer,Yes,4,No,,,,,,,,,,Yes,No (we did NOT expect to write software as part of the project),Suitable,Perfect
2019/06/15 9:04:07 pm CET,Faculty of Engineering and Physical Sciences,,Professor,Yes,5,Yes,3,Yes,No,,My students have,Not confident,Not heard of it,Not heard of it,3,Yes,No (but we DID expect to write software as part of the project),Unsuitable,Suitable
2019/06/15 9:56:34 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,Associate Professor,Yes,5,Yes,4,No,No,,Yes,Very confident,Confident,Confident,2,Yes,Yes,Suitable,Perfect
2019/06/16 12:16:39 am CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,5,Yes,5,Yes,No,No,Yes,Very confident,Confident,Very confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/16 9:44:42 am CET,Faculty of Social Sciences,ESRC;British Academy,Lecturer,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,Suitable
2019/06/16 10:16:01 am CET,Faculty of Social Sciences,none,PhD student,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/16 11:00:07 am CET,Faculty of Engineering and Physical Sciences,EPSRC,Principal Research Fellow,Yes,4,Yes,2,No,No,,I haven't but my students and postdocs have,Not confident,Not confident,Not confident,2,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2019/06/16 12:01:36 pm CET,Faculty of Medicine,Cancer Research UK,Research Fellow,Yes,5,Yes,3,No,No,,Yes,Confident,Not confident,Not confident,2,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/16 12:30:12 pm CET,Faculty of Medicine,MRC;British Heart Foundation;Wellcome Trust,Professor,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/16 1:43:02 pm CET,Faculty of Engineering and Physical Sciences,EPSRC;Industrial sponsor,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/16 2:39:49 pm CET,Faculty of Arts and Humanities,AHRC,PhD student,No,2,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Perfect
2019/06/16 2:41:05 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,5,Yes,5,No,No,,"No, but I would like to use IRIDIS in the future",Very confident,Not confident,Confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Perfect
2019/06/16 3:51:40 pm CET,Faculty of Medicine,MRC,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/16 5:31:39 pm CET,Faculty of Medicine,Cancer Research UK,Dean,Yes,5,Yes,1,No,No,No,used to process my data but not by me,Confident,Not heard of it,Not heard of it,2,No,Yes,Suitable,Suitable
2019/06/16 6:10:20 pm CET,Faculty of Social Sciences,ESRC,Lecturer,Yes,4,Yes,1,No,No,No,"No, I do not require HPC in my research",Not confident,Not heard of it,Not heard of it,,Yes,Yes,Suitable,Suitable
2019/06/16 8:29:13 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
