Timestamp,In which faculty are you based?,Which of the following organisations usually fund your research?,What is your job title?,Do you use research software?,How important is research software to your work?,Have you developed your own research software?,How do you rate your software development expertise?,Do you feel that you have received sufficient training to develop reliable software?,Would you be interested in the university helping you commercialise some of your research software?,Do you feel that your research software is ready to be shared with a commercial partner?,"Have you used IRIDIS, the University's high-performance computing (HPC) system?",How confident are you with the following technologies? [Version control],How confident are you with the following technologies? [Continuous integration],How confident are you with the following technologies? [Unit testing],How would you rate the university's current level of support for your software-development needs?,Have you or someone in your group ever hired someone specifically to develop software?,Have you ever included costs for software development in a funding proposal?,How suitable would the following models be for your software development needs? [Hire a full-time software developer],How suitable would the following models be for your software development needs? [Recruit a developer from a central Southampton pool as needed]
2019/06/17 10:12:14 am CET,Faculty of Engineering and Physical Sciences,BBSRC;ESRC,Associate Professor,Yes,5,Yes,4,Yes,No,,Yes,Not confident,Not heard of it,Not confident,3,No,No (but we DID expect to write software as part of the project),Unsuitable,Perfect
2019/06/17 10:39:55 am CET,Faculty of Environmental and Life Sciences,EPSRC;NERC,PhD student,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/17 10:40:46 am CET,Faculty of Engineering and Physical Sciences,EPSRC;NERC,Professor,Yes,5,Yes,4,No,No,,Yes,Not confident,Not heard of it,Not heard of it,1,Yes,Yes,Suitable,Suitable
2019/06/17 10:46:01 am CET,Faculty of Medicine,Cancer Research UK,Research Fellow,Yes,5,Yes,3,No,No,,Yes,Not confident,Not confident,Not confident,2,No,No (but we DID expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/17 10:48:31 am CET,Faculty of Social Sciences,STFC,Research Fellow,Yes,5,Yes,4,No,Yes,No,"No, but I would like to use IRIDIS in the future",Confident,Confident,Confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/17 10:52:42 am CET,Faculty of Environmental and Life Sciences,NERC,PhD student,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/17 10:55:25 am CET,Faculty of Engineering and Physical Sciences,Innovate UK,Enterprise Fellow,Yes,4,No,,,,,,,,,,Yes,No (but we DID expect to write software as part of the project),Unsuitable,Suitable
2019/06/17 10:59:17 am CET,Faculty of Medicine,MRC;NIHR;Cancer Research UK,,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/17 11:04:09 am CET,Faculty of Medicine,,Statistician,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,
2019/06/17 11:06:13 am CET,Faculty of Environmental and Life Sciences,ESRC,PhD student,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/17 11:10:37 am CET,Faculty of Social Sciences,EPSRC,Associate Professor,Yes,5,Yes,3,Yes,No,,"No, but I would like to use IRIDIS in the future",Not heard of it,Not heard of it,Not heard of it,3,No,Yes,Unsuitable,Suitable
2019/06/17 11:25:11 am CET,Faculty of Environmental and Life Sciences,ESRC,PhD student,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),,
2019/06/17 11:39:29 am CET,Faculty of Environmental and Life Sciences,GSNOCS,PhD student,Yes,5,Yes,3,Yes,No,Yes,"No, I use other HPC facilities",Confident,Not confident,Confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/17 11:44:21 am CET,Faculty of Social Sciences,ESRC,Lecturer,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2019/06/17 11:55:48 am CET,Faculty of Engineering and Physical Sciences,Southampton university,PhD student,Yes,3,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/17 11:56:21 am CET,Faculty of Medicine,BBSRC;MRC;NIHR;British Heart Foundation;Wellcome Trust,Principal Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,Suitable
2019/06/17 12:29:55 pm CET,Faculty of Engineering and Physical Sciences,EPSRC;Cancer Research UK;Wellcome Trust,PhD student,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Perfect,Perfect
2019/06/17 12:32:24 pm CET,Faculty of Social Sciences,AHRC;ESRC,Associate Professor,No,3,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/17 12:46:15 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,Senior Lecturer,Yes,5,Yes,3,No,No,No,"No, but I *might* like to use IRIDIS in the future",Confident,Not confident,Not confident,2,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2019/06/17 12:51:35 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/17 12:51:39 pm CET,Faculty of Engineering and Physical Sciences,Self funded,Research Fellow,No,1,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/17 1:11:50 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,Enterprise Fellow,Yes,5,Yes,4,Yes,Yes,Yes,Yes,Very confident,Confident,Confident,4,Yes,Yes,Suitable,Perfect
2019/06/17 1:33:10 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,4,Yes,3,No,Yes,No,"No, I do not require HPC in my research",Confident,Not heard of it,Not confident,3,No,No (I'm not involved in writing funding proposals),Suitable,Perfect
2019/06/17 1:56:57 pm CET,Faculty of Arts and Humanities,,Senior Teaching Fellow,Yes,3,No,,,,,,,,,,Yes,Yes,Perfect,Perfect
2019/06/17 2:02:46 pm CET,Faculty of Social Sciences,Islamic Development Bank,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2019/06/17 2:21:19 pm CET,Faculty of Social Sciences,MRC,Research Fellow,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/17 2:30:01 pm CET,Faculty of Medicine,Cancer Research UK,Research Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/17 2:45:19 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,4,Yes,3,Yes,No,,Yes,Confident,Not heard of it,Confident,4,No,No (but we DID expect to write software as part of the project),Suitable,Suitable
2019/06/17 3:49:58 pm CET,Faculty of Medicine,EPSRC;MRC;Wellcome Trust,Associate Professor,Yes,5,Yes,3,Yes,No,,Yes,Confident,Not confident,Not confident,2,No,Yes,Unsuitable,Suitable
2019/06/17 4:28:10 pm CET,Faculty of Environmental and Life Sciences,Gerald Kerkut,PhD student,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/17 4:36:16 pm CET,Faculty of Medicine,MRC;Cancer Research UK,Research Fellow,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals);No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2019/06/17 5:34:22 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,5,Yes,1,No,Yes,,Yes,Not heard of it,Not heard of it,Not heard of it,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/17 6:23:33 pm CET,Faculty of Engineering and Physical Sciences,,,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,
2019/06/17 8:20:39 pm CET,Faculty of Engineering and Physical Sciences,STFC;Royal Society,Senior Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/17 9:07:37 pm CET,Faculty of Medicine,Cancer Research UK,Protein biochemist,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/17 10:20:40 pm CET,Faculty of Engineering and Physical Sciences,EPSRC;STFC,Professor,Yes,5,Yes,3,No,Yes,No,Yes,Not confident,Not heard of it,Not heard of it,3,No,No (but we DID expect to write software as part of the project),Perfect,Suitable
2019/06/18 8:09:16 am CET,Faculty of Medicine,Cancer Research UK,Research Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Perfect
2019/06/18 8:57:39 am CET,Faculty of Environmental and Life Sciences,NERC,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/18 9:04:08 am CET,Faculty of Medicine,NIHR,Research Fellow,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2019/06/18 9:40:38 am CET,Faculty of Environmental and Life Sciences,NIHR;Prostate Cancer UK. Industry Funded ,Research Nurse,Yes,4,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),,Suitable
2019/06/18 9:49:36 am CET,Faculty of Medicine,Bloodwise,Senior Research Fellow,Yes,3,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2019/06/18 10:29:22 am CET,Faculty of Medicine,NIHR,Senior Teaching Fellow,Yes,2,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,Suitable
2019/06/18 10:44:23 am CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/18 11:01:52 am CET,Faculty of Engineering and Physical Sciences,EPSRC,Principal Research Fellow,Yes,5,Yes,3,No,Yes,Yes,"No, I do not require HPC in my research",Not confident,Not confident,Confident,1,No,No (but we DID expect to write software as part of the project),Suitable,Perfect
2019/06/18 11:15:06 am CET,Faculty of Engineering and Physical Sciences,BBSRC;Zepler Institute ,PhD student,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/18 11:47:16 am CET,Faculty of Medicine,NIHR,Research Fellow,Yes,5,Yes,2,No,No,,"No, I do not require HPC in my research",Confident,Not heard of it,Not confident,2,Yes,No (I'm not involved in writing funding proposals),Suitable,Suitable
2019/06/18 12:52:23 pm CET,Faculty of Social Sciences,,Teaching Fellow,No,1,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/18 3:25:11 pm CET,Faculty of Medicine,MRC,PhD student,Yes,5,Yes,3,No,No,,Yes,Confident,Confident,Confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/18 3:41:30 pm CET,Faculty of Medicine,,Research Fellow,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
2019/06/18 3:58:42 pm CET,Faculty of Environmental and Life Sciences,BBSRC;Leverhulme Trust,Research Fellow,Yes,3,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/19 6:43:13 am CET,Faculty of Engineering and Physical Sciences,,PhD student,Yes,5,Yes,3,No,Yes,No,"No, but I would like to use IRIDIS in the future",Not confident,Not confident,Not confident,3,Yes,No (I'm not involved in writing funding proposals),Suitable,Suitable
2019/06/19 7:54:16 am CET,Faculty of Medicine,MRC;IfLs,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2019/06/19 12:27:34 pm CET,Faculty of Medicine,MRC;NIHR;Cancer Research UK;WOW AMS,ACL,Yes,5,No,,,,,,,,,,No,Yes,Perfect,Perfect
2019/06/19 3:05:11 pm CET,Faculty of Medicine,Department of Health,Senior Research Fellow,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2019/06/19 3:13:37 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,5,No,,,,,,,,,,Yes,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/19 10:24:53 pm CET,Faculty of Engineering and Physical Sciences,EPSRC,Professor,No,3,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,Suitable
2019/06/20 9:20:12 am CET,Faculty of Medicine,NIHR,Senior Research Manager,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
2019/06/20 10:31:26 am CET,Faculty of Engineering and Physical Sciences,EPSRC;Industry,Associate Professor,Yes,5,Yes,4,Yes,No,No,"No, but I would like to use IRIDIS in the future",Not confident,Not confident,Not confident,1,Yes,Yes,Unsuitable,Suitable
2019/06/20 11:04:13 am CET,Faculty of Engineering and Physical Sciences,EPSRC,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Unsuitable
2019/06/20 2:32:16 pm CET,Faculty of Medicine,NIHR;Health Education England,Senior Research Fellow,Yes,4,No,,,,,,,,,,No,Yes,Unsuitable,Suitable
2019/06/21 9:32:18 am CET,Faculty of Environmental and Life Sciences,Cancer charities,Principal Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
2019/06/21 10:00:07 am CET,Faculty of Medicine,NIHR,Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
2019/06/21 10:36:36 am CET,Faculty of Arts and Humanities,,Associate Professor,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2019/06/23 1:00:44 pm CET,Faculty of Environmental and Life Sciences,"Industry, government and Chinese universities",Professor,Yes,5,Yes,4,Yes,No,,No requirement yet but it may arise in the future,Very confident,Not heard of it,Confident,,No,No (I'm not involved in writing funding proposals),,
2019/06/23 1:16:47 pm CET,Faculty of Engineering and Physical Sciences,,PhD student,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/24 4:54:17 am CET,Faculty of Arts and Humanities,PRODEP in Mexico,M.Ed.,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/24 9:55:37 am CET,Faculty of Medicine,,PhD student,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2019/06/24 3:08:03 pm CET,Faculty of Environmental and Life Sciences,NIHR,Senior Teaching Fellow,No,2,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,
2019/06/24 5:45:31 pm CET,Faculty of Social Sciences,,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2019/06/25 12:14:56 pm CET,Faculty of Social Sciences,ESRC,PhD student,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,
2019/06/25 2:37:05 pm CET,Faculty of Environmental and Life Sciences,NERC,PhD student,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/25 3:23:02 pm CET,Faculty of Arts and Humanities,Brighton University,Senior Lecturer,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals);No (we did NOT expect to write software as part of the project),Suitable,Suitable
2019/06/25 7:14:20 pm CET,Faculty of Social Sciences,UKRI,Research Fellow,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Perfect
