,No (I'm not involved in writing funding proposals),No (but we DID expect to write software as part of the project),No (we did NOT expect to write software as part of the project),Yes
3,10.0,2.0,9.0,2.0
2,8.0,,6.0,1.0
5,244.0,49.0,91.0,58.0
4,55.0,8.0,31.0,13.0
1,9.0,,10.0,
