Timestamp,In which faculty are you based?,Which of the following organisations usually fund your research?,What is your job title?,Do you use research software?,How important is research software to your work?,Have you developed your own research software?,How do you rate your software development expertise?,Do you feel that you have received sufficient training to develop reliable software?,Would you be interested in the university helping you commercialise some of your research software?,Do you feel that your research software is ready to be shared with a commercial partner?,"Have you used ShARC/Bessemer, the University's high-performance computing (HPC) system?",How confident are you with the following technologies? [Version control],How confident are you with the following technologies? [Continuous integration],How confident are you with the following technologies? [Unit testing],How would you rate the university's current level of support for your software-development needs?,Have you or someone in your group ever hired someone specifically to develop software?,Have you ever included costs for software development in a funding proposal?,How suitable would the following models be for your software development needs? [Hire a full-time software developer],How suitable would the following models be for your software development needs? [Recruit a developer (or fractional FTE equivalent of a developer) from a central University of Sheffield pool as needed]
2020/11/19 10:02:53 am GMT,Faculty of Engineering,EPSRC,Research Associate,Yes,5,Yes,5,No,Yes,Yes,Yes,Very confident,Very confident,Very confident,2,No,No (I'm not involved in writing funding proposals),,
2020/11/19 11:50:16 am GMT,"Faculty of Medicine, Dentistry and Health",EPSRC,PhD Student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/20 10:06:10 am GMT,Faculty of Engineering,,PGR,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals);No (we did NOT expect to write software as part of the project),Suitable,Suitable
2020/11/22 7:07:11 pm GMT,Faculty of Social Sciences,ESRC,Research Associate,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2020/11/27 12:28:09 pm GMT,"Faculty of Medicine, Dentistry and Health",NIHR,Information Specialist,Yes,4,No,,,,,,,,,,Yes,Yes,Unsuitable,Suitable
2020/11/27 12:35:59 pm GMT,Faculty of Engineering,EPSRC;innovate UK,Lecturer,Yes,5,Yes,4,No,Yes,No,"No, I use other HPC facilities",Not confident,Not heard of it,Not confident,3,No,No (but we DID expect to write software as part of the project),Unsuitable,Suitable
2020/11/27 1:16:52 pm GMT,"Faculty of Medicine, Dentistry and Health",MRC,Research Software Engineer,Yes,5,Yes,5,Yes,Yes,Yes,"No, but I would like to use ShARC/Bessemer in the future",Very confident,Very confident,Very confident,4,Yes,No (I'm not involved in writing funding proposals),Suitable,Suitable
2020/11/27 1:17:30 pm GMT,Faculty of Science,STFC,Research Fellow,Yes,5,Yes,5,No,No,I'm not interested in commercialising my research software,Yes,Very confident,Confident,Confident,2,Yes,No (but we DID expect to write software as part of the project),Suitable,Suitable
2020/11/27 1:28:16 pm GMT,"Faculty of Medicine, Dentistry and Health",MRC;NIHR,Data Architect,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,ShARC/Bessemer do not meet the IG requirements of our data suppliers,Confident,Not confident,Confident,2,Yes,Yes;No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/27 3:36:29 pm GMT,Faculty of Science,BBSRC;EPSRC;MRC,Lecturer in Bioinformatics,Yes,5,Yes,4,Yes,No,I'm not interested in commercialising my research software,Yes,Very confident,Confident,Not confident,2,No,No (but we DID expect to write software as part of the project),Unsuitable,Suitable
2020/11/27 5:02:37 pm GMT,Faculty of Engineering,EPSRC;industry,Reader,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2020/11/30 9:48:59 am GMT,Faculty of Engineering,EPSRC,Research Associate,Yes,5,Yes,4,No,No,I'm not interested in commercialising my research software,Yes,Confident,Not confident,Not confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/27 5:02:37 pm GMT,Faculty of Engineering,EPSRC;industry,Reader,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2020/11/30 9:48:59 am GMT,Faculty of Engineering,EPSRC,Research Associate,Yes,5,Yes,4,No,No,I'm not interested in commercialising my research software,Yes,Confident,Not confident,Not confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
