Timestamp,In which faculty are you based?,Which of the following organisations usually fund your research?,What is your job title?,Do you use research software?,How important is research software to your work?,Have you developed your own research software?,How do you rate your software development expertise?,Do you feel that you have received sufficient training to develop reliable software?,Would you be interested in the university helping you commercialise some of your research software?,Do you feel that your research software is ready to be shared with a commercial partner?,"Have you used ShARC/Bessemer, the University's high-performance computing (HPC) system?",How confident are you with the following technologies? [Version control],How confident are you with the following technologies? [Continuous integration],How confident are you with the following technologies? [Unit testing],How would you rate the university's current level of support for your software-development needs?,Have you or someone in your group ever hired someone specifically to develop software?,Have you ever included costs for software development in a funding proposal?,How suitable would the following models be for your software development needs? [Hire a full-time software developer],How suitable would the following models be for your software development needs? [Recruit a developer (or fractional FTE equivalent of a developer) from a central University of Sheffield pool as needed]
2020/11/13 2:52:15 pm GMT,Faculty of Social Sciences,ESRC,PhD researcher,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2020/11/13 2:55:29 pm GMT,Faculty of Arts and Humanities,University of Sheffield,PhD researcher,No,1,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/13 2:58:26 pm GMT,Faculty of Social Sciences,LPDP,Doctoral Researcher,Yes,3,No,,,,,,,,,,No,No (but we DID expect to write software as part of the project),Unsuitable,Unsuitable
2020/11/13 3:07:53 pm GMT,Faculty of Social Sciences,ESRC,PhD student,No,3,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,
2020/11/13 3:13:11 pm GMT,Management school,ESRC,Research associate,Yes,4,No,,,,,,,,,,No,Yes,Unsuitable,Suitable
2020/11/13 3:18:52 pm GMT,Faculty of Science,EPSRC,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/13 3:28:05 pm GMT,Faculty of Social Sciences,ESRC,Research Associate,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/13 4:03:21 pm GMT,Faculty of Social Sciences,ESRC,PhD Student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/13 4:17:26 pm GMT,Faculty of Social Sciences,,PhD student,Yes,5,No,,,,,,,,,,No,No (but we DID expect to write software as part of the project),Perfect,Perfect
2020/11/13 4:18:56 pm GMT,Faculty of Social Sciences,My university and department,PhD Student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals);No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2020/11/13 5:00:06 pm GMT,Faculty of Social Sciences,ESRC,PhD Student,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2020/11/13 5:31:29 pm GMT,Faculty of Social Sciences,Leverhulme Trust,Leverhulme Early Career Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2020/11/13 6:17:07 pm GMT,Faculty of Social Sciences,Wellcome Trust,lecturer,Yes,4,Yes,4,Yes,Yes,Yes,"No, I do not require HPC in my research",Confident,Not confident,Not heard of it,3,Yes,Yes,Suitable,Suitable
2020/11/13 6:23:42 pm GMT,Faculty of Arts and Humanities,AHRC,Phd candidate,Yes,5,No,,,,,,,,,,No,Yes,Unsuitable,Perfect
2020/11/13 6:56:20 pm GMT,Faculty of Social Sciences,World Bank,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/13 8:28:40 pm GMT,Faculty of Social Sciences,Wellcome Trust;Self-funded,Accountant,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
2020/11/13 9:52:19 pm GMT,Faculty of Social Sciences,AHRC;EPSRC;ESRC;British Academy,Research Associate,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2020/11/14 6:49:16 am GMT,Faculty of Social Sciences,Endeavour Scheme,Head of Department,No,3,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
2020/11/14 4:31:17 pm GMT,Faculty of Science,STFC;University of Sheffield,PhD Research Student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/14 5:01:05 pm GMT,Faculty of Social Sciences,ESRC,PhD student,Yes,2,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/14 6:39:05 pm GMT,Faculty of Engineering,EPSRC,Research Associate,Yes,5,Yes,1,Yes,No,No,"No, I do not require HPC in my research",Not heard of it,Not heard of it,Not heard of it,4,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2020/11/14 7:40:41 pm GMT,Faculty of Social Sciences,STFC,Research Associate,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2020/11/15 12:10:37 am GMT,Faculty of Social Sciences,ESRC,Adult education tutor,No,1,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/15 8:25:00 pm GMT,Faculty of Science,,PGR,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/16 9:04:08 am GMT,Faculty of Social Sciences,EPSRC;ESRC,Research Associate,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2020/11/16 9:11:40 am GMT,Faculty of Social Sciences,Nuffield Foundation funds my role.,Postdoctoral Research Associate,Yes,3,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,Perfect
2020/11/16 9:32:34 am GMT,Faculty of Arts and Humanities,AHRC,,No,2,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/16 9:38:06 am GMT,Faculty of Social Sciences,,Student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/16 10:12:56 am GMT,Faculty of Engineering,EPSRC,PDRA,Yes,5,Yes,3,No,No,No,"No, but I would like to use ShARC/Bessemer in the future",Confident,Not confident,Not heard of it,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/16 12:07:06 pm GMT,Faculty of Science,ESRC,Research Associate (PDRA),Yes,5,No,,,,,,,,,,Yes,Yes,Suitable,Suitable
2020/11/16 12:30:34 pm GMT,Faculty of Science,BBSRC;EPSRC;MRC;British Heart Foundation;Cancer Research UK;Wellcome Trust,Biological mass spectrometry facility manager,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals);No (but we DID expect to write software as part of the project);No (we did NOT expect to write software as part of the project),Suitable,Suitable
2020/11/16 1:12:27 pm GMT,Faculty of Social Sciences,Wellcome Trust,Research Associate,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
2020/11/16 3:56:13 pm GMT,Faculty of Engineering,EPSRC,,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2020/11/16 4:59:08 pm GMT,Faculty of Engineering,EPSRC,PhD student,Yes,3,Yes,3,No,Yes,No,"No, I do not require HPC in my research",Confident,Not confident,Not confident,2,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2020/11/16 4:59:11 pm GMT,Faculty of Engineering,EPSRC,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/16 4:59:53 pm GMT,Faculty of Engineering,EPSRC,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/16 5:01:17 pm GMT,Faculty of Engineering,EPSRC,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/16 5:01:50 pm GMT,Faculty of Engineering,Self funded,,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/16 5:02:22 pm GMT,Faculty of Engineering,Voicebase,PhD Student,Yes,5,No,,,,,,,,,,No,Yes,Suitable,Suitable
2020/11/16 5:04:55 pm GMT,Faculty of Engineering,EPSRC,RA,Yes,5,No,,,,,,,,,,No,No (but we DID expect to write software as part of the project),Suitable,Suitable
2020/11/16 5:12:50 pm GMT,Faculty of Engineering,EPSRC,PhD student,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,"No, but I would like to use ShARC/Bessemer in the future",Confident,Not confident,Confident,3,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2020/11/16 5:19:34 pm GMT,Faculty of Engineering,EPSRC,EngD Student,Yes,4,Yes,3,Yes,No,I'm not interested in commercialising my research software,"No, I do not require HPC in my research",Not confident,Not heard of it,Not heard of it,4,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/16 5:24:08 pm GMT,Faculty of Social Sciences,AHRC;ESRC,Research Associate,Yes,5,No,,,,,,,,,,No,Yes,Suitable,Suitable
2020/11/16 5:26:11 pm GMT,Faculty of Engineering,EPSRC,PhD Student,Yes,4,Yes,3,No,No,I'm not interested in commercialising my research software,"No, I do not require HPC in my research",Confident,Not heard of it,Not heard of it,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/16 5:27:03 pm GMT,Faculty of Engineering,,PhD student,Yes,5,Yes,3,Yes,No,I'm not interested in commercialising my research software,Yes,Not confident,Not heard of it,Not heard of it,3,No,No (I'm not involved in writing funding proposals),,
2020/11/16 5:31:07 pm GMT,Faculty of Engineering,Midea,PHD,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,"No, but I would like to use ShARC/Bessemer in the future",Confident,Confident,Confident,4,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2020/11/16 5:32:31 pm GMT,Faculty of Engineering,Siemens,PHD,Yes,5,No,,,,,,,,,,No,Yes;No (I'm not involved in writing funding proposals),Perfect,Suitable
2020/11/16 5:37:03 pm GMT,Faculty of Engineering,ESRC,student,Yes,5,Yes,3,No,Yes,No,"No, but I would like to use ShARC/Bessemer in the future",Confident,Not heard of it,Not heard of it,5,No,Yes,Suitable,Suitable
2020/11/16 5:39:43 pm GMT,Faculty of Engineering,BBSRC,PhD Student - Resilience in Decarbonised Energy,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/16 5:45:59 pm GMT,Faculty of Engineering,EPSRC,PhD student,Yes,5,Yes,2,No,No,No,Yes,Not confident,Not heard of it,Not heard of it,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/16 5:50:15 pm GMT,Faculty of Engineering,EPSRC,PhD Student,Yes,5,No,,,,,,,,,,No,No (but we DID expect to write software as part of the project),Suitable,Suitable
2020/11/16 6:07:54 pm GMT,Faculty of Engineering,EPSRC;Nuclear Decommissioning Authority,Postgraduate Research Student,Yes,4,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Perfect
2020/11/16 6:08:02 pm GMT,Faculty of Engineering,EPSRC,PhD student and research assistant,Yes,5,Yes,3,No,Yes,No,"No, but I would like to use ShARC/Bessemer in the future",Not confident,Not heard of it,Not confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/16 6:16:05 pm GMT,Faculty of Engineering,,PhD Student,Yes,5,No,,,,,,,,,,Yes,No (but we DID expect to write software as part of the project),Suitable,Perfect
2020/11/16 6:22:13 pm GMT,Faculty of Engineering,EPSRC,PGR,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/16 6:34:15 pm GMT,Faculty of Engineering,EPSRC,PhD Student/Researcher,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/16 6:34:19 pm GMT,Faculty of Engineering,UKRI,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/16 6:37:39 pm GMT,Faculty of Engineering,BBSRC,PhD student,Yes,5,No,,,,,,,,,,No,Yes,Suitable,Perfect
2020/11/16 6:59:45 pm GMT,Faculty of Engineering,EPSRC,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/16 8:01:15 pm GMT,Faculty of Engineering,ESRC;Rolls Royce,PhD student ,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/16 8:15:36 pm GMT,Faculty of Engineering,Commonwealth Scholarship Commission ,PhD Scholar,Yes,5,No,,,,,,,,,,No,Yes;No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2020/11/16 8:19:32 pm GMT,Faculty of Engineering,EPSRC,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Perfect
2020/11/16 8:56:18 pm GMT,Faculty of Engineering,EPSRC,,Yes,5,Yes,4,Yes,No,I'm not interested in commercialising my research software,"No, but I would like to use ShARC/Bessemer in the future",Very confident,Confident,Confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/16 9:00:31 pm GMT,Faculty of Engineering,,,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,
2020/11/16 9:00:39 pm GMT,Faculty of Engineering,,,No,3,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2020/11/16 9:06:33 pm GMT,Faculty of Engineering,EPSRC,EngD Student,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/16 9:16:08 pm GMT,Faculty of Social Sciences,EPSRC;ESRC;NERC,Research Associate,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2020/11/16 9:49:31 pm GMT,Faculty of Engineering,EPSRC,PhD Student,Yes,4,Yes,2,No,Yes,No,"No, but I would like to use ShARC/Bessemer in the future",Confident,Not confident,Not confident,3,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2020/11/16 10:09:52 pm GMT,Faculty of Engineering,Libyan Embassy ,Fire Dynamic ,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/16 10:29:15 pm GMT,Faculty of Engineering,EU (Marie Curie Fellowship),PhD student,Yes,5,No,,,,,,,,,,No,Yes;No (I'm not involved in writing funding proposals),Suitable,Suitable
2020/11/16 11:16:19 pm GMT,Faculty of Social Sciences,Chilean government scholarship,Doctoral researcher,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2020/11/17 12:30:22 am GMT,Faculty of Engineering,NERC;STFC,PhD student,Yes,3,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2020/11/17 2:08:23 am GMT,Faculty of Engineering,EPSRC,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,Suitable
2020/11/17 6:24:20 am GMT,Faculty of Engineering,"Ministry of Higher Education, Research and Innovation, Oman",Lecturer,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
2020/11/17 6:29:27 am GMT,Faculty of Engineering,EPSRC,,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Perfect,Perfect
2020/11/17 9:10:01 am GMT,Faculty of Engineering,EPSRC,EngD research engineer,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/17 9:12:54 am GMT,Faculty of Engineering,EPSRC;Industry sponsor,PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Perfect,Suitable
2020/11/17 9:40:27 am GMT,Faculty of Engineering,EPSRC,PhD Student ,Yes,3,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/17 9:58:23 am GMT,Faculty of Engineering,EPSRC,PhD Student,Yes,4,Yes,3,Yes,No,No,"No, I do not require HPC in my research",Not confident,Not heard of it,Not confident,4,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/17 10:06:17 am GMT,Faculty of Engineering,EPSRC,Senior Design and Development Engineer,Yes,2,Yes,2,No,Yes,No,"No, I use other HPC facilities",Confident,Not heard of it,Not heard of it,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/17 10:10:30 am GMT,Faculty of Science,BBSRC;Wellcome Trust,Research Associate,Yes,5,Yes,3,No,No,No,Yes,Not confident,Not confident,Not confident,,No,No (but we DID expect to write software as part of the project),,Suitable
2020/11/17 10:52:49 am GMT,Faculty of Engineering,EPSRC,PGR Student,Yes,5,Yes,3,Yes,No,No,"No, but I would like to use ShARC/Bessemer in the future",Confident,Not confident,Not confident,4,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/17 10:56:40 am GMT,Faculty of Social Sciences,ESRC,Research Associate,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/17 11:21:02 am GMT,Faculty of Engineering,co funduded by university of sheffield ,Phd student,Yes,5,Yes,3,No,Yes,No,"No, I use other HPC facilities",Not heard of it,Not confident,Not heard of it,2,No,No (but we DID expect to write software as part of the project),Unsuitable,Suitable
2020/11/17 11:35:42 am GMT,Faculty of Engineering,EPSRC,PhD Student,Yes,3,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/17 12:03:17 pm GMT,Faculty of Engineering,EPSRC,PhD Student,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/17 2:29:35 pm GMT,Faculty of Engineering,EPSRC,PhD student,Yes,3,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/17 2:51:55 pm GMT,Faculty of Engineering,,Student,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,Yes,Confident,Not confident,Not confident,4,No,Yes,Unsuitable,Unsuitable
2020/11/17 5:03:13 pm GMT,Faculty of Engineering,EPSRC,PhD Student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2020/11/17 6:05:42 pm GMT,Faculty of Engineering,International sponser,maintenance engineer,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Perfect
2020/11/17 8:17:34 pm GMT,Faculty of Engineering,CONACYT,PhD Biomaterials and Regenerative Medicine,No,3,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals);No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2020/11/17 9:35:36 pm GMT,Faculty of Engineering,EPSRC,PhD research student,Yes,2,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/18 9:13:19 am GMT,Faculty of Engineering,My Employer,Senior robotics and controls engineer,No,4,No,,,,,,,,,,No,Yes,Suitable,Suitable
2020/11/18 10:30:58 am GMT,Faculty of Engineering,EPSRC,PhD student,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/18 11:58:24 am GMT,Faculty of Social Sciences,,PhD candidate ,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Perfect,Perfect
